;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO;
;;
;;
;Sección: 17 MINISTERIO DE TRANSPORTES Y MOVILIDAD SOSTENIBLE;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
;Servicio;Programa;Económica;Explicación;;Total;
v;;495A;;Desarrollo y aplicación de la información geográfica española;;;
v;;;1;GASTOS DE PERSONAL;;;
v;;;10;Altos cargos;;61,04;
;;;100;Retribuciones básicas y otras remuneraciones;;61,04;
;;;10000; Retribuciones básicas;18,91;;
;;;10001; Retribuciones complementarias;42,13;;
v;;;12;Funcionarios;;11.020,48;
;;;120;Retribuciones básicas;;5.877,32;
;;;12000; Sueldos del grupo A1 y grupo A;1.753,95;;
;;;12001; Sueldos del grupo A2 y grupo B;1.516,65;;
;;;12002; Sueldos del grupo C1 y grupo C;685,15;;
;;;12003; Sueldos del grupo C2 y grupo D;96,38;;
;;;12005; Trienios;783,41;;
;;;12006; Pagas extraordinarias;1.041,78;;
;;;121;Retribuciones complementarias;;5.066,77;
;;;12100; Complemento de destino;2.360,27;;
;;;12101; Complemento específico;2.686,68;;
;;;12102; Indemnización por residencia;18,80;;
;;;12103; Otros complementos;1,02;;
;;;123;Indemnizaciones percibidas por destino en el extranjero;;76,39;
;;;12300; Indemnización por destino en el extranjero;76,39;;
v;;;13;Laborales;;3.558,51;
;;;130;Laboral fijo;;3.465,02;
;;;13000; Retribuciones básicas;3.149,75;;
;;;13001; Otras remuneraciones;315,27;;
;;;131;Laboral eventual;;93,49;
v;;;16;Cuotas, prestaciones y gastos sociales a cargo del empleador;;2.250,00;
;;;160;Cuotas sociales;;2.250,00;
v;;;16000; Seguridad Social;2.250,00;;
;;;;TOTAL GASTOS DE PERSONAL;;16.890,03;
 ; ;;;;;;
v;;;2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;;;
v;;;22;Material, suministros y otros;;2.307,05;
;;;220;Material de oficina;;66,32;
;;;22000; Ordinario no inventariable;14,42;;
;;;22001; Prensa, revistas, libros y otras publicaciones;3,84;;
;;;22002; Material informático no inventariable;48,06;;
;;;221;Suministros;;1.178,44;
;;;22100; Energía eléctrica;807,78;;
;;;22101; Agua;28,83;;
;;;22103; Combustible;283,72;;
;;;22104; Vestuario;3,84;;
;;;22106; Productos farmacéuticos y material sanitario;3,84;;
;;;22112; Suministros de material electrónico, eléctrico y de comunicaciones;21,60;;
;;;22199; Otros suministros;28,83;;
